name,unit,category,cost,description
10CM custom platform,SQM,Platform & Flooring,72.38,
MDF skin,SQM,Platform & Flooring,34.5,
Exhibition Grade Carpet,SQM,Platform & Flooring,12,
Medium Grade Carpet,SQM,Platform & Flooring,50,
3MM thick vinyl strips ,SQM,Platform & Flooring,45,
Soft vinyl flooring ,SQM,Platform & Flooring,75,
Laminated parquet floor,SQM,Platform & Flooring,75,
Melamine Floor,SQM,Platform & Flooring,52.5,
Laminated Floor,SQM,Platform & Flooring,84.55,
Roller painted Skirting ,MT,Platform & Flooring,23.75,
Spray painted skirting ,MT,Platform & Flooring,28.25,
4CM Eco Floor,SQM,Platform & Flooring,25,
10CM Eco Floor,SQM,Platform & Flooring,35,
60CM to 90CM Deck on hire,SQM,Platform & Flooring,100,
5 - 10CM Thick Cladding - No Paint finishes,SQM,Partition & Cladding,85,
5 - 10CM Thick Cladding - Roller Paint ,SQM,Partition & Cladding,120.5,
5 - 10CM Thick Cladding - Spray Paint,SQM,Partition & Cladding,155.5,
5 - 10CM Thick Cladding - Laminate,SQM,Partition & Cladding,158,
5 - 10CM Thick Cladding - Veneer,SQM,Partition & Cladding,175.5,
10CM Thick Partition - No Paint finishes,SQM,Partition & Cladding,124,
10CM Thick Partition - Roller Paint ,SQM,Partition & Cladding,194,
10CM Thick Partition - Spray Paint,SQM,Partition & Cladding,264,
10CM Thick Partition - Laminate - Bothsides,SQM,Partition & Cladding,259,
10CM Thick Partition - Laminate - Single,SQM,Partition & Cladding,231.5,
10CM Thick Partition - Veneer - Bothsides,SQM,Partition & Cladding,294,
10CM Thick Partition - Veneer - Single,SQM,Partition & Cladding,249,
20CM Thick Partition - No Paint finishes,SQM,Partition & Cladding,142.8,
20CM Thick Partition - Roller Paint ,SQM,Partition & Cladding,212.8,
20CM Thick Partition - Spray Paint,SQM,Partition & Cladding,282.8,
20CM Thick Partition - Laminate - Bothsides,SQM,Partition & Cladding,297.8,
20CM Thick Partition - Laminate - Single,SQM,Partition & Cladding,260.3,
20CM Thick Partition - Veneer - Bothsides,SQM,Partition & Cladding,332.8,
20CM Thick Partition - Veneer - Single,SQM,Partition & Cladding,277.8,
30CM Thick Partition - No Paint finishes,SQM,Partition & Cladding,158,
30CM Thick Partition - Roller Paint ,SQM,Partition & Cladding,228,
30CM Thick Partition - Spray Paint,SQM,Partition & Cladding,298,
30CM Thick Partition - Laminate - Bothsides,SQM,Partition & Cladding,313,
30CM Thick Partition - Laminate - Single,SQM,Partition & Cladding,275.5,
30CM Thick Partition - Veneer - Bothsides,SQM,Partition & Cladding,348,
30CM Thick Partition - Veneer - Single,SQM,Partition & Cladding,293,
40 - 50CM Thick Partition - No Paint finishes,SQM,Partition & Cladding,158,
40 - 50CM Thick Partition - Roller Paint ,SQM,Partition & Cladding,228,
40 - 50CM Thick Partition - Spray Paint,SQM,Partition & Cladding,298,
40 - 50CM Thick Partition - Laminate - Bothsides,SQM,Partition & Cladding,313,
40 - 50CM Thick Partition - Laminate - Single,SQM,Partition & Cladding,275.5,
40 - 50CM Thick Partition - Veneer - Bothsides,SQM,Partition & Cladding,348,
40 - 50CM Thick Partition - Veneer - Single,SQM,Partition & Cladding,293,
